store,address,phone,address2,_GC_TYPE,_X,_Y
신사점,서울시 강남구 도산대로 126,02-548-2741,서울특별시 강남구 도산대로 126,정,127.0224109999771,37.51696869995594
강남대로점,서울시 서초구 강남대로 369 1층,02-588-5778,서울특별시 서초구 강남대로 369 1층,정,127.02821666292591,37.49566140223212
차병원점,서울시 강남구 논현로 566 강남차병원1층,02-538-7615,서울특별시 강남구 논현로 566 강남차병원1층,정,127.03482431236546,37.50643991419043
역삼점,"서울시 강남구 논현로 512  지상1,2층",02-569-8051,"서울특별시 강남구 논현로 512 지상1,2층",정,127.03652129441626,37.50234991136999
압구정역점,서울시 강남구 논현로 842 압구정빌딩1층,02-544-6823,서울특별시 강남구 논현로 842 압구정빌딩1층,정,127.0287311871236,37.52403908202882
청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호",02-548-6052,"서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호",정,127.04723282433596,37.52525527988616
양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층,02-578-6833,서울특별시 서초구 강남대로 213 24호 지하1층,정,127.03561212720217,37.48234245613936
도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호",02-572-2781,"서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호",정,127.05155437160387,37.48733899730933
청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층,02-542-2053,서울특별시 강남구 삼성로 716 LEE76빌딩2층,정,127.05003205496142,37.519898403230826
영동점,서울 서초구 반포동 736-17 P빌딩 2층,02-3443-2096,서울특별시 서초구 반포동 736-17 P빌딩 2층,정,127.02282511205019,37.50685387021782
서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층,02-582-0158,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,정,127.0302626981028,37.49128804585086
압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호",02-543-5922,"서울특별시 강남구 도산대로49길 13 1층 17,18호",정,127.03696049733863,37.523741736589386
영동고앞점,"서울시 강남구 선릉로 749 1,2층",02-544-3794,"서울특별시 강남구 선릉로 749 1,2층",정,127.03947558884185,37.52145762040619
삼성오크우드점,서울 강남구 영동대로 513 컨벤션별관A동 지하 2층,02-3466-8507,서울특별시 강남구 영동대로 513 컨벤션별관A동 지하 2층,정,127.0591588162209,37.51182421143046
논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층,02-513-3870,서울특별시 강남구 논현 231-13호 팍스타워지하1층,정,127.0365746601855,37.51004819513807
압구정로데오점,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층,02-3445-5093,서울특별시 강남구 선릉로 157길 12 석전빌딩 1~4층,정,127.03901294020491,37.52611492174356
트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층,02-6002-6470,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,정,127.06102310221968,37.51035653285146
삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층",02-3443-5618,"서울특별시 강남구 영동대로 607 1,2층",정,127.05948948090938,37.51455205212794
서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호",02-3477-5580,"서울특별시 서초구 서초동 1685-8호 101~2호,113~4호,121호",정,127.01646563906931,37.49540542973758
잠실신천점,서울시 송파구 석촌호수로 118 1층,02-416-9520,서울특별시 송파구 석촌호수로 118 1층,정,127.0900216820966,37.50743758416456
삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층,02-2055-1142,서울특별시 서초구 서초대로74길 11 지하2층,정,127.0269145455737,37.496633268318895
방배카페골목점,서울특별시 서초구 방배중앙로 187,02-592-7794,서울특별시 서초구 방배중앙로 187,정,126.985531171734,37.49570856093374
논현동수면센터점,서울시 강남구 논현로 717 1층,02-3443-5575,서울특별시 강남구 논현로 717 1층,정,127.02953731651846,37.51596164222452
테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층,02-538-9927,서울특별시 강남구 테헤란로 70길 12 1층,정,127.05315917786214,37.50474222926693
역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층,02-554-9962,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층,정,127.03414135825331,37.49908664444383
삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층,02-538-4523,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,정,127.06416664521426,37.51467305921827
삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,02-581-5562,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,정,127.02570336290644,37.49674468706047
남부터미널역점,서울시 서초구 서초중앙로 43 로얄타워1층,02-523-3671,서울특별시 서초구 서초중앙로 43 로얄타워1층,정,127.01557716809667,37.48553845589538
방이점,서울시 송파구 오금로 11길 7,02-415-5561,서울특별시 송파구 오금로 11길 7,정,127.1079677779601,37.51455615261928
도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층,02-2016-5330,서울특별시 강남구 테헤란로87길 36 공항타워 1층,정,127.05859721722906,37.51023392128358
매봉역점,서울시 강남구 논현로 38길 42 418호,02-529-9947,서울특별시 강남구 논현로 38길 42 418호,정,127.0450535020154,37.48557451547229
강남역랭기지타워점,서울시 강남구 테헤란로4길 28 826-28호 1층,02-563-3655,서울특별시 강남구 테헤란로4길 28 826-28호 1층,정,127.0300941589309,37.49652247257477
광화문점,서울 종로구 서린동 136 센트리얼빌딩 1층,02-3210-2326,서울특별시 종로구 서린동 136 센트리얼빌딩 1층,정,126.97886068673003,37.56978500519584
홍대역점,서울시 마포구 홍익로 6길 26,02-333-4278,서울특별시 마포구 홍익로 6길 26,정,126.92326431252171,37.555468976898865
경희궁의아침점,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외,02-730-8896,서울특별시 종로구 새문안로3길 23 경희궁아침상가4단지105외,정,126.97224392604993,37.57254785037314
청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층",02-514-5622,"서울특별시 강남구 도산대로 67길 7,파크빌딩 1층",정,127.04438725128527,37.52448809940236
순화점,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층,02-2220-8198,서울특별시 중구 순화202 1-94 프레이저플레이스레지던스1층,유,126.97219289679772,37.55950269594524
강변테크노마트점,서울시 광진구 광나루로56길 85 테크노마트9층35호,02-3424-5480,서울특별시 광진구 광나루로56길 85 테크노마트9층35호,정,127.09569153142348,37.53572460003108
종로관철동점,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층",02-738-5333,"서울특별시 종로구 청계천로 83 11-4호 지하1,지상1~3층",정,126.98673253686685,37.568483566854326
소공동삼화빌딩점,서울 중구 남대문로7길 16 한컴빌딩 1층,02-753-8004,서울특별시 중구 남대문로7길 16 한컴빌딩 1층,정,126.98116291091794,37.56416520361909
세종문화회관옆점,서울 종로구 새문안로 9길 25 1층,02-720-5561,서울특별시 종로구 새문안로 9길 25 1층,정,126.97548145341456,37.571350870771155
외대앞점,서울시 동대문구 이문로 106 1~3층,02-959-7750,서울특별시 동대문구 이문로 106 1~3층,정,127.06021694329038,37.596066666543074
고대안암역점,서울시 성북구 개운사길8 101-3 1층,02-953-6652,서울특별시 성북구 개운사길8 101-3 1층,정,127.02957315758631,37.58698733497133
순화동라마다호텔점,서울시 중구 칠패로 27 151호,02-3789-3347,서울특별시 중구 칠패로 27 151호,정,126.9720357260746,37.56026697345149
건대스타시티점,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,02-444-9861,서울특별시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,정,127.0711366475323,37.538788261751016
신촌점,서울시 서대문구 창천 18-26호 B1,02-363-5572,서울특별시 서대문구 창천 18-26호 B1,정,126.93738781920146,37.556319715783104
중계동은행사거리점,서울시 노원구 한글비석로 263 1층,02-931-3055,서울특별시 노원구 한글비석로 263 1층,정,127.0764707363585,37.65120978877508
목동점,서울시 양천구 목동동로 293 현대41타워1층,02-2654-5981,서울특별시 양천구 목동동로 293 현대41타워1층,정,126.87577203345768,37.52817803168188
서울스퀘어점,서울시 중구 한강대로 416 지하1층,02-6456-8907,서울특별시 중구 한강대로 416 지하1층,정,126.97375106569055,37.5555037970402
